持股人,公司,分数
134,36,-4.231126
4,0,-3.588047
124,67,-3.1821868
54,84,-3.1821895
150,65,-6.9276447
91,46,-5.0371103
38,58,-1.5599971
0,10,-78.55549
139,3,-5.595378
163,73,-2.8227272
16,18,4.626574
12,77,0.16347998
46,71,-7.9478536
104,54,-46.746166
107,86,-12.006964
147,16,-6.047921
4,47,-3.8814662
29,26,-3.1821854
63,20,-3.1821868
163,45,-4.811955
126,66,-2.0752208
0,76,-3.1821847
84,13,-5.241819
87,73,-2.8227253
155,65,-6.9276443
147,54,-46.746185
159,6,-3.2746506
28,89,-3.086324
159,34,-42.03545
39,38,-53.410892
43,7,-0.7467702
24,50,-0.42816448
21,18,4.626572
24,78,-2.4012787
120,66,-2.0752208
76,0,-3.588051
79,65,-6.927646
159,72,2.2938097
156,40,-6.64117
103,85,-1.9399114
100,53,-3.182185
34,90,0.058075204
59,19,-2.8794708
55,78,-2.4012806
117,2,-124.9734
51,39,-3.1821914
72,27,-4.471129
151,64,-1.6859778
9,32,-25.207188
35,37,-6.0924463
39,6,-3.2746525
135,73,-2.8227272
17,17,-4.519902
139,42,-4.680983
31,26,-3.1821892
108,85,-1.9399095
164,72,2.2938066
64,19,-2.8794708
67,79,-3.874304
125,62,5.0220094
127,60,-1.4212608
80,59,-1.8580563
144,9,-56.206448
88,72,2.2938097
113,1,-2.338548
109,60,-1.4212627
47,38,-53.41089
44,6,-3.2746506
105,21,-3.1821847
101,80,-2.5611267
144,42,-4.680985
113,34,-42.035458
60,46,-5.0371103
97,8,-2.8735847
160,71,-7.9478536
161,8,-2.8735847
164,40,-6.6411724
127,61,-11.964684
18,39,-3.1821914
44,44,-3.4851062
26,24,-3.1821847
118,1,-2.3385499
121,61,-11.964684
73,26,-3.1821876
76,86,-12.006964
31,83,-1.3505524
132,28,-3.8278751
140,41,-3.2402968
97,79,-3.874304
26,71,-7.9478536
56,45,-4.811957
53,13,-5.241817
5,85,-1.9399154
156,70,-3.1821868
85,27,-4.471129
10,69,-3.1821866
148,68,-3.3326128
106,15,-6.457612
6,58,-1.5599971
36,32,-25.207188
114,0,-3.588049
14,43,-3.1821828
109,80,-2.5611286
69,25,-3.1821895
61,45,-4.8119583
65,14,-15.187469
85,65,-6.9276443
86,2,-124.97339
128,55,-3.1821892
93,78,-2.4012764
40,90,0.058075204
49,12,-3.5667877
149,48,-34.59207
106,86,-12.006966
44,64,-1.6859733
41,32,-25.207203
122,60,-1.4212583
65,52,-29.678364
62,20,-3.182185
136,87,-3.1821895
94,34,-42.03545
158,6,-3.2746465
161,66,-2.0752208
102,47,-3.8814697
123,7,-0.7467683
2,40,-6.6411695
23,50,-0.42816415
27,19,-2.879469
57,44,-3.4851067
57,72,2.2938097
115,27,-4.4711328
118,87,-3.1821914
73,84,-3.1821876
74,21,-3.1821868
137,34,-42.03545
134,2,-124.97339
95,9,-56.206448
15,37,-6.0924463
137,62,5.0220127
145,47,-3.8814697
102,85,-1.9399134
37,31,-4.773299
137,67,-3.1821868
95,14,-15.187471
3,15,-6.457614
110,79,-3.874304
50,39,-3.1821895
3,20,-3.1821868
66,13,-5.241819
90,33,-18.906672
154,33,-18.906677
11,64,-1.6859714
8,32,-25.207188
45,58,-1.5599989
146,3,-5.5953755
111,26,-3.1821892
111,54,-46.74618
114,86,-12.006962
46,0,-3.588051
66,51,-1.8036166
66,79,-3.874306
70,20,-3.1821887
159,0,-3.588051
83,28,-3.8278754
162,65,-6.927646
24,44,-3.4851067
38,53,-3.1821866
20,5,-3.9930806
16,64,-1.685974
46,38,-53.410892
146,74,-58.243824
28,18,4.62657
123,27,-4.471131
119,86,-12.006969
78,52,-29.678368
75,20,-3.1821887
142,2,-124.97339
99,40,-6.6411715
96,8,-2.8735867
138,61,-11.964684
33,77,0.16348253
20,71,-7.947857
54,65,-6.9276443
99,73,-2.822729
4,14,-15.187464
103,14,-15.187475
124,2,-124.97338
120,61,-11.964684
54,70,-3.1821868
55,7,-0.7467702
58,39,-3.1821876
75,58,-1.5600008
75,86,-12.006968
79,27,-4.471131
150,79,-3.8743021
34,52,-29.678368
134,88,-15.562328
12,63,-1.7138824
16,32,-25.207195
34,57,-3.182185
115,85,-1.9399134
55,45,-4.811957
71,19,-2.8794687
130,21,-3.1821868
0,62,5.0220118
84,27,-4.4711328
87,59,-1.8580519
87,87,-3.1821873
126,80,-2.5611267
108,47,-3.881468
147,68,-3.3326108
8,90,0.058075204
42,84,-3.1821852
24,64,-1.685974
108,80,-2.5611227
5,41,-3.2402968
63,77,0.16348253
64,14,-15.187476
67,46,-5.0371084
127,27,-4.471129
88,34,-42.035454
8,62,5.0220146
85,2,-124.97335
127,55,-3.1821868
130,87,-3.1821895
156,26,-3.1821895
159,86,-12.006964
96,28,-3.8278713
25,11,-4.4758606
21,70,-3.1821868
25,39,-3.1821914
125,1,-2.3385503
125,29,-2.0838366
83,58,-1.5600007
80,26,-3.1821914
